Conversation_Id,Clarity_and_Simplicity,Relevance_and_Accuracy,Tone_and_Supportiveness,Adaptability,Consistency_and_Flow,Language
0,8.5,9.0,9.0,8.0,7.5,English
1,9.0,9.0,9.0,8.0,8.0,English
2,8.5,9.0,8.5,8.0,8.5,English
3,8.5,9.0,9.0,8.5,9.0,English
4,9.0,9.0,9.0,8.0,9.0,English
5,9.0,10.0,9.0,9.0,9.0,English
6,9.0,10.0,9.0,9.0,9.0,English
7,9.0,10.0,9.0,9.0,9.0,English
8,9.0,10.0,9.0,9.0,9.0,English
9,9.0,9.0,9.0,9.0,9.0,English
10,9.0,9.0,9.0,9.0,8.0,English
11,9.0,10.0,9.0,9.0,9.0,English
12,9.0,10.0,9.0,8.0,8.0,English
13,9.0,10.0,9.0,9.0,9.0,English
14,9.0,10.0,9.0,9.0,10.0,English
15,9.0,10.0,9.0,9.0,9.0,English
16,9.0,10.0,9.0,9.0,9.0,English
17,9.0,10.0,9.0,9.0,9.0,English
18,9.0,10.0,9.0,9.0,9.0,English
19,9.0,10.0,9.0,9.0,9.0,English
20,9.0,9.0,7.5,7.0,7.5,English
21,7.5,9.0,8.0,7.0,8.0,English
22,4.0,6.5,4.0,4.0,5.0,English
23,9.0,9.0,6.0,4.0,5.0,English
24,7.5,8.0,7.5,6.0,6.5,English
25,7.5,8.5,8.5,7.5,7.5,English
26,7.0,7.0,7.0,5.0,4.0,English
27,7.5,8.5,7.0,6.0,5.0,English
28,9.0,10.0,9.0,9.0,9.0,English
29,9.0,10.0,9.0,9.0,9.0,English
30,9.0,9.0,9.0,8.0,8.5,English
31,9.0,9.0,9.0,9.0,9.0,English
32,9.0,9.0,9.0,9.0,8.5,Spanish
33,9.0,9.0,9.0,9.0,8.5,French
34,8.5,9.0,9.0,9.0,8.5,Dutch
35,9.0,10.0,9.0,9.0,9.0,English
36,9.0,9.0,9.0,9.0,8.5,Portuguese
37,6.5,7.0,6.0,6.0,4.0,Swahili
38,9.0,9.0,9.0,8.5,8.5,English
39,9.0,9.0,9.0,9.0,8.5,French
40,8.5,9.0,9.0,8.5,8.5,Dutch
41,9.0,10.0,9.0,8.5,9.0,Portuguese
42,8.5,9.0,9.0,9.0,8.0,Swahili
43,8.5,9.0,9.0,9.0,9.0,English
44,9.0,10.0,9.0,9.0,9.0,Español
45,9.0,9.0,9.0,9.0,8.5,Portuguese
46,9.0,9.0,9.0,8.0,8.5,Swahili
47,9.0,9.0,9.0,9.0,8.5,French
48,8.5,9.0,9.0,8.5,8.5,Spanish
49,9.0,9.0,9.0,8.5,8.5,English
50,9.0,9.0,9.0,8.0,7.5,Swahili
51,8.5,9.0,9.0,8.5,7.5,Dutch
52,8.5,9.0,9.0,8.0,8.0,Portuguese
53,9.0,9.0,9.0,8.0,6.5,French
54,8.5,9.0,9.0,9.0,9.0,French
55,9.0,10.0,9.0,9.0,9.0,Spanish
56,9.0,10.0,9.0,9.0,9.0,English
57,9.0,9.0,9.0,9.0,9.0,Dutch
58,9.0,9.0,9.0,7.0,7.0,Swahili
59,8.5,7.0,8.5,7.0,6.0,Spanish
60,8.0,9.0,8.0,7.0,8.5,Portuguese
61,9.0,9.0,9.0,9.0,9.0,English
62,9.0,9.0,9.0,9.0,8.5,French
63,9.0,9.0,9.0,9.0,8.5,Portuguese
64,8.5,9.0,9.0,8.0,8.5,Dutch
65,8.5,9.0,9.0,8.0,6.5,Kiswahili
66,1.0,1.0,1.0,1.0,1.0,Spanish
67,9.0,10.0,9.0,9.0,9.0,English
68,9.0,9.0,9.0,9.0,9.0,English
69,9.0,9.0,9.0,9.0,9.0,English
70,8.5,9.0,9.0,8.5,8.0,Swahili
71,9.0,9.0,9.0,9.0,7.5,Haitian Creole
72,9.0,9.0,9.0,9.0,9.0,English
73,9.0,10.0,9.0,9.0,9.0,Spanish
74,8.5,9.0,9.0,8.0,8.5,English
75,9.0,9.0,9.0,9.0,9.0,English
76,9.0,9.0,9.0,9.0,9.0,English
77,9.0,9.0,9.0,8.5,8.5,Spanish
78,8.5,9.0,9.0,8.5,8.5,English
79,9.0,9.0,9.0,8.0,7.0,English
80,8.5,9.0,9.0,8.5,8.0,Portuguese
81,8.5,8.5,9.0,8.0,8.0,Dutch
82,9.0,9.0,9.0,8.5,9.0,Spanish
83,9.0,9.0,9.0,9.0,8.0,English
84,8.5,9.0,9.0,8.5,8.5,English
85,8.5,9.0,9.0,8.5,8.5,English
86,9.0,9.0,9.0,8.5,8.5,English
87,8.5,9.0,9.0,8.5,6.5,English
88,8.5,9.0,8.5,8.0,8.5,English
89,9.0,9.0,9.0,9.0,9.0,English
90,9.0,9.0,9.0,8.0,8.0,French
91,9.0,8.5,8.5,6.5,4.5,English
92,8.5,9.0,9.0,9.0,9.0,English
93,9.0,9.0,9.0,9.0,9.0,English
95,9.0,10.0,9.0,8.0,8.0,None
96,9.0,10.0,9.0,8.0,6.5,English
97,9.0,9.0,9.0,8.5,8.5,English
98,9.0,9.0,9.0,8.5,8.5,Spanish
99,9.0,9.0,9.0,9.0,8.5,Portuguese
100,9.0,9.0,9.0,9.0,8.5,Spanish
101,9.0,9.0,9.0,8.5,8.5,English
102,8.5,9.0,9.0,8.0,8.5,English
103,8.5,9.0,9.0,8.5,7.5,Portuguese
104,9.0,9.0,9.0,9.0,8.5,Swahili
105,9.0,9.0,9.0,9.0,8.5,English
106,9.0,9.0,9.0,9.0,8.5,French
107,9.0,9.0,9.0,8.0,8.5,Portuguese
108,9.0,10.0,9.0,9.0,8.5,Portuguese
109,9.0,9.0,9.0,9.0,8.5,Portuguese
110,9.0,9.0,9.0,9.0,9.0,Swahili
111,9.0,9.0,9.0,8.0,8.0,English
112,9.0,10.0,9.0,9.0,8.5,French
113,9.0,9.0,9.0,9.0,9.0,English
114,9.0,10.0,9.0,9.0,9.0,Spanish
115,4.0,3.0,6.5,3.0,3.0,English
116,9.0,9.0,9.0,9.0,8.5,Portuguese
117,9.0,9.0,9.0,9.0,9.0,English
118,9.0,9.0,9.0,9.0,8.5,English
119,9.0,9.0,9.0,8.0,9.0,Zulu
120,9.0,9.0,9.0,9.0,9.0,Portuguese
121,9.0,9.0,9.0,8.5,8.5,Portuguese
122,9.0,10.0,9.0,9.0,9.0,English
123,9.0,9.0,9.0,9.0,9.0,English
124,9.0,10.0,9.0,9.0,9.0,Portuguese
125,9.0,10.0,9.0,9.0,9.0,English
126,9.0,10.0,9.0,9.0,8.5,French
127,9.0,10.0,9.0,9.0,9.0,Portuguese
128,9.0,9.0,9.0,9.0,9.0,Dutch
129,9.0,9.0,9.0,9.0,9.0,Swahili
130,9.0,10.0,9.0,9.0,9.0,Spanish
131,9.0,10.0,9.0,9.0,9.0,Spanish
132,9.0,10.0,9.0,9.0,9.0,English
133,8.0,8.0,8.5,6.5,6.5,English
134,9.0,10.0,9.0,9.0,8.0,English
135,9.0,10.0,9.0,9.0,9.0,Portuguese
136,9.0,9.0,9.0,9.0,8.5,English
137,9.0,10.0,9.0,9.0,9.0,Dutch
138,9.0,10.0,9.0,9.0,9.0,English
139,9.0,10.0,9.0,9.0,9.0,Portuguese
140,9.0,9.0,9.0,9.0,9.0,English
141,9.0,9.0,8.5,8.0,8.0,Portuguese
142,6.5,5.0,8.0,5.0,6.5,Dutch
143,8.5,7.5,8.5,7.5,6.5,Portuguese
144,9.0,9.0,8.5,8.0,8.5,Portuguese
145,6.5,4.0,7.0,4.0,3.0,Dutch
146,9.0,9.0,9.0,8.5,8.5,Spanish
147,9.0,9.0,9.0,8.5,8.0,English
148,9.0,9.0,9.0,9.0,8.0,Dutch
149,6.5,4.0,5.0,4.0,4.0,Swahili
150,7.5,7.5,7.5,6.5,6.5,Spanish
151,8.5,7.0,8.5,6.0,6.5,Portuguese
152,8.5,8.5,8.5,7.5,8.5,English
153,9.0,9.0,9.0,9.0,9.0,English
154,9.0,8.5,9.0,8.0,8.5,Spanish
155,9.0,10.0,9.0,9.0,9.0,Dutch
156,9.0,9.0,9.0,8.5,9.0,English
157,9.0,9.0,9.0,9.0,8.0,English
158,9.0,10.0,9.0,9.0,9.0,English
159,9.0,9.0,9.0,8.0,8.5,English
160,9.0,9.0,9.0,8.0,8.5,English
161,9.0,9.0,9.0,7.5,8.0,Spanish
162,9.0,9.0,9.0,8.0,8.0,Dutch
163,9.0,10.0,9.0,9.0,9.0,Dutch
164,9.0,10.0,9.0,9.0,9.0,Portuguese
165,9.0,8.5,9.0,7.5,8.0,Portuguese
166,9.0,9.0,9.0,9.0,8.5,English
167,9.0,9.0,9.0,8.5,6.5,Portuguese
168,9.0,9.0,9.0,9.0,8.5,Spanish
169,9.0,9.0,9.0,9.0,9.0,Dutch
170,9.0,10.0,9.0,9.0,9.0,Dutch
171,9.0,9.0,9.0,8.0,9.0,Dutch
172,9.0,9.0,9.0,9.0,9.0,Spanish
173,9.0,9.0,9.0,9.0,9.0,English
174,9.0,9.0,9.0,9.0,9.0,French
175,9.0,9.0,9.0,8.0,8.5,Portuguese
176,9.0,9.0,9.0,9.0,9.0,English
177,9.0,10.0,9.0,9.0,9.0,English
178,9.0,10.0,9.0,9.0,9.0,Portuguese
179,9.0,10.0,9.0,9.0,9.0,English
180,9.0,10.0,9.0,8.0,9.0,Dutch
181,9.0,9.0,9.0,9.0,9.0,English
182,9.0,10.0,9.0,9.0,9.0,Portuguese
183,8.0,6.5,8.0,6.5,6.5,Dutch
184,9.0,10.0,9.0,9.0,9.0,Spanish
185,9.0,10.0,9.0,9.0,9.0,Portuguese
186,9.0,9.0,9.0,9.0,9.0,Portuguese
187,9.0,9.0,9.0,9.0,9.0,Portuguese
188,9.0,9.0,9.0,9.0,9.0,Nederlands
189,9.0,9.0,9.0,9.0,9.0,French
190,9.0,9.0,9.0,9.0,9.0,English
191,9.0,9.0,9.0,9.0,9.0,Portuguese
192,9.0,9.0,9.0,9.0,9.0,English
193,9.0,9.0,9.0,9.0,9.0,Portuguese
194,9.0,8.0,8.0,7.0,8.0,Hindi
195,9.0,9.0,9.0,9.0,9.0,Portuguese
196,9.0,9.0,9.0,9.0,9.0,English
197,9.0,10.0,9.0,9.0,9.0,Portuguese
198,9.0,9.0,9.0,8.5,8.5,Portuguese
199,9.0,9.0,9.0,9.0,9.0,English
200,9.0,9.0,9.0,9.0,9.0,Portuguese
201,9.0,9.0,9.0,8.0,8.0,Kiswahili
202,9.0,10.0,9.0,9.0,9.0,Swahili
203,9.0,9.0,9.0,8.0,8.5,English
204,9.0,10.0,9.0,9.0,9.0,Spanish
205,9.0,10.0,9.0,9.0,9.0,Portuguese
206,9.0,9.0,9.0,9.0,9.0,English
207,9.0,10.0,9.0,9.0,10.0,Portuguese
208,9.0,10.0,9.0,9.0,9.0,English
209,9.0,10.0,9.0,9.0,9.0,English
210,9.0,10.0,9.0,9.0,9.0,English
211,9.0,10.0,9.0,9.0,9.0,English
212,8.5,9.0,9.0,9.0,8.5,Portuguese
213,9.0,9.0,9.0,9.0,8.0,Dutch
214,9.0,9.0,9.0,9.0,8.5,Portuguese
215,9.0,9.0,9.0,9.0,8.5,Portuguese
216,9.0,9.0,9.0,8.0,8.0,Portuguese
217,9.0,10.0,9.0,9.0,9.0,Portuguese
218,9.0,9.0,9.0,8.5,8.5,Dutch
219,9.0,9.0,9.0,9.0,7.5,English
220,9.0,9.0,9.0,9.0,9.0,Portuguese
221,9.0,10.0,9.0,9.0,9.0,Portuguese
222,9.0,9.0,9.0,8.5,8.5,English
223,9.0,10.0,9.0,9.0,9.0,Dutch
224,9.0,10.0,9.0,9.0,9.0,English
225,8.5,9.0,9.0,8.0,8.0,English
226,9.0,9.0,9.0,8.0,7.5,Dutch
227,9.0,9.0,9.0,9.0,9.0,Swahili
228,8.5,8.5,9.0,8.5,6.5,Portuguese
229,9.0,9.0,9.0,9.0,9.0,Portuguese
230,9.0,10.0,9.0,9.0,9.0,English
231,9.0,10.0,9.0,9.0,9.0,English
232,8.5,8.5,9.0,7.5,7.5,Portuguese
233,8.5,8.0,8.5,6.0,6.5,French
234,9.0,10.0,9.0,9.0,9.0,Swahili
235,9.0,10.0,9.0,9.0,9.0,Portuguese
236,9.0,10.0,9.0,8.5,9.0,English
237,9.0,10.0,9.0,9.0,9.0,English
238,9.0,10.0,9.0,8.0,8.0,English
239,9.0,10.0,9.0,9.0,9.0,English
240,9.0,9.0,9.0,8.5,8.5,Portuguese
241,8.5,9.0,9.0,8.0,6.5,Spanish
242,9.0,10.0,9.0,9.0,9.0,Swahili
243,6.5,6.0,6.5,4.0,4.0,French
244,9.0,10.0,9.0,9.0,9.0,Portuguese
245,8.5,9.0,9.0,8.0,7.5,English
246,9.0,10.0,9.0,9.0,9.0,Spanish
247,9.0,9.0,9.0,9.0,8.5,Portuguese
248,9.0,10.0,9.0,9.0,9.0,Portuguese
249,9.0,10.0,9.0,9.0,8.5,Portuguese
250,9.0,9.0,9.0,9.0,9.0,English
251,8.5,9.0,9.0,7.5,8.0,Portuguese
252,9.0,9.0,9.0,9.0,9.0,French
253,9.0,10.0,9.0,9.0,9.0,French
254,9.0,10.0,9.0,9.0,9.0,English
255,9.0,9.0,9.0,8.0,9.0,English
256,9.0,9.0,9.0,9.0,9.0,Portuguese
257,9.0,10.0,9.0,9.0,9.0,English
258,9.0,9.0,8.5,8.5,9.0,English
259,9.0,9.0,9.0,9.0,9.0,Portuguese
260,9.0,9.0,9.0,8.5,8.5,Portuguese
261,9.0,10.0,9.0,9.0,9.0,Spanish
262,9.0,9.0,9.0,8.5,8.5,Portuguese
263,9.0,10.0,9.0,9.0,9.0,French
264,9.0,10.0,9.0,9.0,9.0,English
265,9.0,10.0,9.0,9.0,8.0,English
266,9.0,9.0,9.0,9.0,9.0,Portuguese
267,9.0,10.0,9.0,9.0,9.0,Portuguese
268,9.0,10.0,9.0,9.0,9.0,Portuguese
269,9.0,9.0,9.0,8.5,8.0,Portuguese
270,9.0,9.0,9.0,9.0,9.0,Portuguese
271,9.0,10.0,9.0,9.0,9.0,Spanish
272,9.0,9.0,9.0,9.0,8.5,Portuguese
273,8.5,9.0,9.0,8.0,7.5,Portuguese
274,9.0,10.0,9.0,9.0,9.0,Swahili
275,9.0,9.0,9.0,9.0,9.0,Portuguese
276,9.0,9.0,9.0,9.0,9.0,English
277,9.0,10.0,9.0,9.0,9.0,Portuguese
278,9.0,9.0,9.0,9.0,9.0,Portuguese
279,9.0,10.0,9.0,8.0,8.0,French
280,9.0,10.0,9.0,9.0,8.5,English
281,9.0,10.0,9.0,8.0,8.0,English
282,9.0,9.0,9.0,9.0,9.0,English
283,9.0,9.0,9.0,9.0,9.0,Swahili
284,9.0,9.0,9.0,9.0,8.5,Dutch
285,9.0,9.0,9.0,8.5,8.5,Portuguese
286,9.0,10.0,9.0,8.5,7.5,Dutch
287,9.0,9.0,9.0,9.0,8.5,Dutch
288,9.0,10.0,9.0,9.0,9.0,Portuguese
289,9.0,10.0,9.0,9.0,8.5,Spanish
290,9.0,9.0,9.0,9.0,9.0,English
291,9.0,9.0,9.0,9.0,9.0,Portuguese
292,9.0,9.0,9.0,9.0,8.5,Portuguese
293,8.5,9.0,8.5,7.5,8.0,Spanish
294,9.0,10.0,9.0,9.0,9.0,French
295,9.0,9.0,9.0,9.0,9.0,Dutch
296,9.0,9.0,9.0,9.0,9.0,Portuguese
297,9.0,10.0,9.0,8.0,8.0,French
298,9.0,10.0,9.0,9.0,8.5,English
299,9.0,10.0,9.0,9.0,9.0,Portuguese
300,9.0,10.0,9.0,8.0,8.5,Portuguese
301,9.0,10.0,9.0,9.0,9.0,English
302,9.0,10.0,9.0,9.0,9.0,Portuguese
303,9.0,10.0,9.0,9.0,9.0,Portuguese
304,9.0,10.0,9.0,9.0,9.0,English
305,7.5,7.5,8.5,6.5,4.0,Portuguese
306,9.0,10.0,9.0,9.0,9.0,Dutch
307,9.0,10.0,9.0,9.0,9.0,Portuguese
308,9.0,10.0,9.0,9.0,10.0,Portuguese
309,8.5,8.5,9.0,7.5,6.5,English
310,9.0,9.0,9.0,8.5,8.5,Spanish
311,9.0,10.0,9.0,8.5,8.0,Nederlands
312,9.0,10.0,9.0,9.0,9.0,Dutch
313,9.0,10.0,9.0,9.0,9.0,English
314,9.0,9.0,9.0,8.5,9.0,English
315,9.0,10.0,9.0,9.0,9.0,Spanish
316,9.0,9.0,9.0,9.0,8.5,English
317,9.0,10.0,9.0,9.0,9.0,Dutch
318,9.0,10.0,9.0,9.0,9.0,English
319,9.0,9.0,9.0,9.0,9.0,Portuguese
320,9.0,9.0,9.0,9.0,8.0,Nederlands
321,9.0,9.0,9.0,9.0,9.0,Nederlands
322,9.0,9.0,9.0,9.0,8.5,English
323,9.0,10.0,9.0,9.0,9.0,Portuguese
324,9.0,9.0,9.0,9.0,9.0,English
325,9.0,9.0,9.0,8.0,9.0,French
326,9.0,10.0,9.0,9.0,9.0,Swahili
327,9.0,9.0,9.0,9.0,9.0,English
328,9.0,10.0,9.0,9.0,9.0,Portuguese
329,9.0,10.0,9.0,9.0,9.0,English
330,9.0,9.0,9.0,9.0,9.0,English
331,9.0,10.0,9.0,9.0,9.0,English
332,9.0,10.0,9.0,9.0,9.0,English
333,9.0,10.0,9.0,9.0,9.0,Portuguese
334,8.5,9.0,9.0,9.0,9.0,Portuguese
335,9.0,9.0,9.0,9.0,8.5,Portuguese
336,9.0,9.0,9.0,9.0,9.0,Dutch
337,9.0,10.0,9.0,9.0,9.0,Portuguese
338,9.0,9.0,9.0,9.0,9.0,Dutch
339,9.0,10.0,9.0,9.0,9.0,Spanish
340,9.0,10.0,9.0,9.0,9.0,Portuguese
341,9.0,10.0,9.0,9.0,9.0,English
342,9.0,9.0,9.0,9.0,9.0,English
343,9.0,10.0,9.0,9.0,9.0,Portuguese
344,9.0,9.0,9.0,8.0,8.5,English
345,9.0,10.0,9.0,9.0,8.5,French
346,9.0,9.0,9.0,8.0,9.0,French
347,9.0,9.0,9.0,8.0,9.0,Swahili
348,9.0,9.0,9.0,8.5,8.5,Spanish
349,9.0,9.0,9.0,8.0,8.5,Portuguese
350,9.0,10.0,9.0,9.0,9.0,Swahili
351,8.5,9.0,9.0,8.0,8.0,Spanish
352,9.0,10.0,9.0,9.0,9.0,Swahili
353,9.0,9.0,9.0,8.5,9.0,English
354,9.0,10.0,9.0,9.0,9.0,English
355,9.0,9.0,9.0,8.0,8.0,English
356,9.0,9.0,9.0,9.0,9.0,English
357,9.0,9.0,9.0,9.0,9.0,Portuguese
358,9.0,10.0,9.0,9.0,9.0,Portuguese
359,9.0,9.0,9.0,9.0,9.0,English
360,9.0,9.0,9.0,9.0,9.0,Swahili
361,9.0,9.0,9.0,9.0,9.0,English
362,9.0,9.0,9.0,9.0,9.0,Portuguese
363,9.0,9.0,9.0,9.0,9.0,Dutch
364,9.0,10.0,9.0,9.0,9.0,Portuguese
365,9.0,9.0,9.0,9.0,9.0,English
366,9.0,10.0,9.0,9.0,9.0,English
367,9.0,9.0,9.0,9.0,9.0,Swahili
368,9.0,10.0,9.0,9.0,9.0,Portuguese
369,9.0,9.0,9.0,8.0,8.0,Hindi
370,9.0,10.0,9.0,9.0,9.0,Spanish
371,9.0,10.0,9.0,9.0,9.0,Portuguese
372,9.0,9.0,9.0,8.5,9.0,English
373,9.0,9.0,9.0,9.0,9.0,English
374,9.0,9.0,9.0,9.0,9.0,Portuguese
375,9.0,9.0,9.0,9.0,9.0,English
376,9.0,9.0,9.0,9.0,9.0,Portuguese
377,8.0,9.0,9.0,8.0,6.5,Portuguese
378,9.0,9.0,9.0,8.0,8.5,Swahili
379,9.0,10.0,9.0,9.0,9.0,Spanish
380,9.0,10.0,9.0,9.0,9.0,Portuguese
381,2.0,2.0,3.0,2.0,2.0,Portuguese
382,9.0,6.5,9.0,6.5,7.5,Español
383,4.0,3.0,5.0,3.0,3.0,Spanish
384,9.0,9.0,9.0,9.0,9.0,French
385,6.0,5.0,6.5,4.0,4.0,Portuguese
386,9.0,9.0,9.0,9.0,9.0,Swahili
387,8.5,8.5,9.0,7.5,8.5,Portuguese
388,9.0,10.0,9.0,9.0,8.0,Portuguese
389,9.0,9.0,9.0,8.5,8.5,Portuguese
390,8.5,9.0,9.0,8.5,9.0,English
391,9.0,8.0,8.0,7.0,7.5,Dutch
392,8.5,7.5,7.5,5.0,6.5,Dutch
393,9.0,8.5,8.5,7.5,8.5,Dutch
394,9.0,9.0,9.0,8.5,8.5,Spanish
395,9.0,9.0,9.0,8.5,8.5,English
396,9.0,10.0,9.0,9.0,9.0,Spanish
397,9.0,9.0,9.0,9.0,9.0,Portuguese
398,9.0,9.0,9.0,8.5,9.0,Portuguese
399,8.0,7.5,8.0,6.5,5.0,Portuguese
400,9.0,9.0,9.0,8.0,8.0,Portuguese
401,9.0,9.0,9.0,9.0,9.0,Dutch
402,9.0,9.0,9.0,9.0,9.0,Dutch
403,9.0,9.0,9.0,9.0,9.0,English
404,9.0,10.0,9.0,9.0,9.0,Portuguese
405,9.0,9.0,9.0,8.0,9.0,Dutch
406,9.0,9.0,9.0,9.0,9.0,Portuguese
407,9.0,9.0,9.0,8.5,9.0,English
408,9.0,9.0,9.0,9.0,9.0,English
409,9.0,9.0,9.0,9.0,9.0,French
410,9.0,10.0,9.0,9.0,9.0,Portuguese
411,9.0,9.0,9.0,9.0,9.0,English
412,9.0,8.5,9.0,7.5,8.5,Portuguese
413,9.0,10.0,9.0,9.0,9.0,English
414,9.0,10.0,9.0,9.0,9.0,Portuguese
415,9.0,10.0,9.0,9.0,9.0,Portuguese
416,9.0,10.0,9.0,9.0,9.0,Spanish
417,9.0,10.0,9.0,9.0,9.0,Portuguese
418,9.0,10.0,9.0,9.0,9.0,Portuguese
419,9.0,9.0,9.0,9.0,9.0,English
420,9.0,9.0,9.0,9.0,9.0,French
421,9.0,10.0,9.0,9.0,9.0,French
422,9.0,10.0,9.0,9.0,9.0,English
423,9.0,9.0,9.0,9.0,9.0,Dutch
424,9.0,10.0,9.0,9.0,9.0,English
425,9.0,9.0,9.0,9.0,9.0,Dutch
426,9.0,10.0,9.0,9.0,9.0,Portuguese
427,9.0,10.0,9.0,9.0,9.0,Portuguese
428,9.0,10.0,9.0,9.0,9.0,Portuguese
429,9.0,10.0,9.0,9.0,9.0,Swahili
430,9.0,10.0,9.0,9.0,9.0,Portuguese
431,9.0,10.0,9.0,9.0,9.0,English
432,9.0,9.0,9.0,8.5,9.0,Spanish
433,9.0,10.0,9.0,9.0,9.0,Dutch
434,9.0,9.0,9.0,9.0,9.0,Dutch
435,9.0,9.0,9.0,9.0,9.0,English
436,9.0,10.0,9.0,9.0,9.0,Portuguese
437,8.5,8.5,8.5,7.5,7.5,English
438,9.0,10.0,9.0,9.0,9.0,French
439,9.0,10.0,9.0,9.0,9.0,English
440,9.0,9.0,9.0,8.0,9.0,English
441,9.0,9.0,9.0,9.0,9.0,Portuguese
442,9.0,10.0,9.0,9.0,9.0,English
443,9.0,10.0,9.0,9.0,9.0,Dutch
444,9.0,10.0,9.0,9.0,9.0,Portuguese
445,9.0,9.0,9.0,9.0,9.0,English
446,9.0,9.0,9.0,9.0,9.0,Dutch
447,9.0,10.0,9.0,9.0,9.0,Dutch
448,9.0,10.0,9.0,9.0,9.0,Dutch
449,9.0,9.0,9.0,9.0,9.0,Portuguese
450,9.0,9.0,9.0,9.0,9.0,English
451,9.0,9.0,9.0,9.0,9.0,English
452,9.0,9.0,9.0,9.0,9.0,Portuguese
453,9.0,9.0,9.0,8.5,9.0,Portuguese
454,9.0,9.0,9.0,9.0,9.0,Dutch
455,9.0,9.0,9.0,9.0,9.0,Portuguese
456,9.0,10.0,9.0,9.0,9.0,English
457,9.0,9.0,8.0,8.0,8.0,Spanish
458,9.0,9.0,9.0,9.0,9.0,Swahili
459,9.0,9.0,9.0,9.0,9.0,Portuguese
460,9.0,10.0,9.0,9.0,9.0,Portuguese
461,9.0,10.0,9.0,9.0,9.0,English
462,9.0,10.0,9.0,9.0,9.0,English
463,9.0,9.0,9.0,9.0,9.0,English
464,9.0,10.0,9.0,9.0,9.0,Swahili
465,9.0,10.0,9.0,9.0,9.0,English
466,9.0,9.0,9.0,9.0,9.0,English
467,9.0,9.0,9.0,9.0,9.0,Portuguese
468,9.0,9.0,9.0,9.0,9.0,Swahili
469,9.0,9.0,9.0,9.0,9.0,Portuguese
470,9.0,10.0,9.0,9.0,9.0,Portuguese
471,9.0,9.0,9.0,9.0,9.0,English
472,9.0,9.0,9.0,8.0,9.0,Spanish
473,9.0,9.0,9.0,8.0,9.0,Spanish
474,8.5,9.0,9.0,8.5,7.5,English
475,9.0,9.0,9.0,9.0,8.0,Dutch
476,9.0,9.0,9.0,8.0,7.5,Spanish
477,8.5,9.0,9.0,7.5,7.5,English
478,9.0,10.0,9.0,9.0,9.0,Portuguese
479,8.5,7.5,8.5,6.5,6.5,Portuguese
480,8.5,9.0,8.0,7.5,7.5,Spanish
481,9.0,9.0,8.5,8.0,8.0,Portuguese
482,9.0,9.0,9.0,8.0,8.0,Portuguese
483,9.0,9.0,9.0,8.5,9.0,Portuguese
484,9.0,9.0,9.0,9.0,8.0,English
485,9.0,8.0,8.0,6.5,7.5,Portuguese
486,9.0,10.0,9.0,9.0,9.0,Portuguese
487,8.5,6.5,6.5,5.0,5.0,Spanish
488,9.0,8.5,9.0,7.5,7.5,Portuguese
489,8.5,7.5,8.5,5.0,7.5,English
490,9.0,10.0,9.0,9.0,9.0,Swahili
491,9.0,9.0,9.0,8.0,8.0,Portuguese
492,9.0,10.0,9.0,9.0,9.0,Portuguese
493,9.0,9.0,9.0,8.0,8.0,Portuguese
494,9.0,10.0,9.0,9.0,9.0,Swahili
495,7.0,6.0,6.0,4.0,4.0,Portuguese
496,9.0,9.0,9.0,8.0,8.0,Swahili
497,7.5,8.5,8.5,7.5,5.0,French
498,9.0,10.0,9.0,9.0,9.0,Dutch
499,6.5,5.0,6.5,4.0,4.0,Portuguese
500,9.0,10.0,9.0,8.0,8.0,Spanish
501,8.5,6.5,7.5,5.0,6.5,English
502,8.0,6.0,8.0,4.0,6.5,Spanish
503,5.0,4.0,6.5,4.0,4.0,Spanish
504,8.5,7.5,6.5,5.0,6.5,Spanish
505,9.0,9.0,9.0,9.0,9.0,Spanish
506,9.0,10.0,9.0,8.5,9.0,Spanish
507,9.0,9.0,9.0,8.5,9.0,English
508,9.0,10.0,9.0,9.0,9.0,Dutch
509,9.0,9.0,9.0,9.0,9.0,French
510,9.0,10.0,9.0,9.0,9.0,Spanish
511,9.0,10.0,9.0,9.0,9.0,Portuguese
512,9.0,9.0,9.0,9.0,9.0,English
513,9.0,9.0,9.0,9.0,9.0,English
514,9.0,9.0,9.0,9.0,9.0,English
515,9.0,9.0,9.0,9.0,9.0,English
516,9.0,9.0,9.0,9.0,9.0,Portuguese
517,9.0,9.0,9.0,9.0,9.0,English
518,9.0,9.0,9.0,9.0,9.0,English
519,9.0,9.0,9.0,9.0,9.0,English
520,9.0,9.0,9.0,9.0,9.0,Portuguese
521,9.0,9.0,9.0,8.5,9.0,English
522,9.0,9.0,9.0,8.5,9.0,English
523,9.0,9.0,9.0,9.0,9.0,English
524,8.0,8.5,9.0,8.0,8.0,Swahili
525,9.0,9.0,9.0,8.0,9.0,Portuguese
526,9.0,9.0,9.0,8.0,9.0,Portuguese
527,9.0,9.0,9.0,9.0,9.0,Portuguese
528,9.0,9.0,9.0,8.5,9.0,English
529,9.0,10.0,9.0,9.0,9.0,English
530,9.0,9.0,9.0,9.0,9.0,English
